material,orderlimit,Var_qty,bo_qty,diff
RDF06,21,0.0,5.016666666666667,5.016666666666667
RDF06,24,0.0,5.016666666666667,5.016666666666667
RDF06,27,0.0,5.016666666666667,5.016666666666667
RDF07,3,10.484550065040281,16.683333333333334,6.198783268293052
RDF07,6,0.0,16.683333333333334,16.683333333333334
RDF07,9,0.0,16.683333333333334,16.683333333333334
RDF07,12,0.0,16.683333333333334,16.683333333333334
RDF07,15,0.0,16.683333333333334,16.683333333333334
RDF07,18,0.0,16.683333333333334,16.683333333333334
RDF07,21,0.0,16.683333333333334,16.683333333333334
RDF07,24,0.0,16.683333333333334,16.683333333333334
RDF07,27,0.0,16.683333333333334,16.683333333333334
RMM01Y10,3,0.0,40.0,40.0
RMM01Y10,6,0.0,40.0,40.0
RMM01Y10,9,0.0,40.0,40.0
RMM01Y10,12,0.0,40.0,40.0
RMM01Y10,15,0.0,40.0,40.0
RMM01Y10,18,0.0,40.0,40.0
RMM01Y10,21,0.0,40.0,40.0
RMM01Y10,24,0.0,40.0,40.0
RMM01Y10,27,0.0,40.0,40.0
RMPS12D,8,67.1011204162578,155.45666666666668,88.35554625040888
RMPS12D,16,0.0,155.45666666666668,155.45666666666668
RMPS12D,24,0.0,155.45666666666668,155.45666666666668
RMPS12D,32,0.0,155.45666666666668,155.45666666666668
RMPS12D,40,0.0,155.45666666666668,155.45666666666668
RMPS12D,48,0.0,155.45666666666668,155.45666666666668
RMPS12D,56,0.0,155.45666666666668,155.45666666666668
RMPS12D,64,0.0,155.45666666666668,155.45666666666668
RMPS12D,72,0.0,155.45666666666668,155.45666666666668
RMUB02,3,870.4234421882752,712.2916666666666,158.13177552160857
RMUB02,6,253.96491714407125,712.2916666666666,458.3267495225954
RMUB02,9,176.57683699264197,712.2916666666666,535.7148296740247
RMUB02,12,129.42107944284794,712.2916666666666,582.8705872238187
RMUB02,15,105.85920105964757,712.2916666666666,606.432465607019
RMUB02,18,84.65840313129229,712.2916666666666,627.6332635353743
RMUB02,21,71.79754989772206,712.2916666666666,640.4941167689445
RMUB02,24,59.87051923471905,712.2916666666666,652.4211474319476
RMUB02,27,50.378806563376116,712.2916666666666,661.9128601032905
RMUB04,3,283.76415456145105,209.77666666666667,73.98748789478438
RMUB04,6,121.57326724974195,209.77666666666667,88.20339941692473
RMUB04,9,97.62329285812311,209.77666666666667,112.15337380854356
RMUB04,12,86.66218499539627,209.77666666666667,123.1144816712704
RMUB04,15,76.68868182960789,209.77666666666667,133.0879848370588
RMUB04,18,67.5022054821012,209.77666666666667,142.27446118456547
RMUB04,21,58.970220809180034,209.77666666666667,150.80644585748664
RMUB04,24,50.99852967859919,209.77666666666667,158.77813698806747
RMUB04,27,43.51670020666198,209.77666666666667,166.2599664600047
RMUB06,6,254.7513307192437,429.69,174.9386692807563
RMUB06,12,116.26109992955287,429.69,313.4289000704471
RMUB06,18,79.57914853534515,429.69,350.11085146465484
RMUB06,24,52.0967094520554,429.69,377.5932905479446
RMUB06,30,37.84278798579433,429.69,391.84721201420564
RMUB06,36,25.162920156096675,429.69,404.5270798439033
RMUB06,42,20.168505346598543,429.69,409.5214946534015
RMUB06,48,15.547619565327295,429.69,414.1423804346727
RMUB06,54,11.253308223151805,429.69,418.4366917768482
RMUB08,3,837.7896449591426,255.38666666666666,582.402978292476
RMUB08,6,159.4950818532903,255.38666666666666,95.89158481337637
RMUB08,9,85.95690538797166,255.38666666666666,169.429761278695
RMUB08,12,49.0967094520554,255.38666666666666,206.28995721461126
RMUB08,15,34.84278798579433,255.38666666666666,220.54387868087233
RMUB08,18,22.162920156096675,255.38666666666666,233.22374651056998
RMUB08,21,15.574387928841418,255.38666666666666,239.81227873782524
RMUB08,24,9.5461492439265,255.38666666666666,245.84051742274016
RMUB08,27,5.626654111575903,255.38666666666666,249.76001255509075
RMUB11,6,142.61931043306646,177.46,34.84068956693355
RMUB11,12,38.322899669391745,177.46,139.13710033060826
RMUB11,18,16.33256281909894,177.46,161.12743718090107
RMUB11,24,7.773809782663648,177.46,169.68619021733636
RMUB11,30,3.624562618571254,177.46,173.83543738142876
RMUB11,36,0.0,177.46,177.46
RMUB11,42,0.0,177.46,177.46
RMUB11,48,0.0,177.46,177.46
RMUB11,54,0.0,177.46,177.46
RMUB13,6,162.42549040705035,301.0933333333333,138.66784292628296
RMUB13,12,67.09817977345621,301.0933333333333,233.9951535598771
RMUB13,18,41.495482975195614,301.0933333333333,259.5978503581377
RMUB13,24,23.321429347990943,301.0933333333333,277.77190398534236
RMUB13,30,10.873687855713769,301.0933333333333,290.21964547761957
RMUB13,36,0.0,301.0933333333333,301.0933333333333
RMUB13,42,0.0,301.0933333333333,301.0933333333333
RMUB13,48,0.0,301.0933333333333,301.0933333333333
RMUB13,54,0.0,301.0933333333333,301.0933333333333
RP03Y10,6,0.0,40.0,40.0
RP03Y10,12,0.0,40.0,40.0
RP03Y10,18,0.0,40.0,40.0
RP03Y10,24,0.0,40.0,40.0
RP03Y10,30,0.0,40.0,40.0
RP03Y10,36,0.0,40.0,40.0
RP03Y10,42,0.0,40.0,40.0
RP03Y10,48,0.0,40.0,40.0
RP03Y10,54,0.0,40.0,40.0
RPM01D,18,507.33996926058387,881.6033333333334,374.2633640727495
RPM01D,36,83.46649352607403,881.6033333333334,798.1368398072593
RPM01D,54,11.253308223151805,881.6033333333334,870.3500251101816
RPM01D,72,0.0,881.6033333333334,881.6033333333334
RPM01D,90,0.0,881.6033333333334,881.6033333333334
RPM01D,108,0.0,881.6033333333334,881.6033333333334
RPM01D,126,0.0,881.6033333333334,881.6033333333334
RPM01D,144,0.0,881.6033333333334,881.6033333333334
RPM01D,162,0.0,881.6033333333334,881.6033333333334
RTM01,2,646.0859665159286,112.21999999999998,533.8659665159286
RTM01,4,178.65324763784997,112.21999999999998,66.43324763784999
RTM01,6,78.0512953688293,112.21999999999998,34.168704631170684
RTM01,8,59.72966931330279,112.21999999999998,52.49033068669719
RTM01,10,46.914887682273005,112.21999999999998,65.30511231772698
RTM01,12,36.549089886728105,112.21999999999998,75.67091011327187
RTM01,14,32.51511497750662,112.21999999999998,79.70488502249336
RTM01,16,28.7301594204364,112.21999999999998,83.48984057956358
RTM01,18,25.162920156096675,112.21999999999998,87.05707984390331
SBE01,6,1099.8823366404063,502.3333333333333,597.549003307073
SBE01,12,607.4501078694612,502.3333333333333,105.11677453612793
SBE01,18,469.09479903125754,502.3333333333333,33.23853430207578
SBE01,24,413.4450288276687,502.3333333333333,88.88830450566462
SBE01,30,376.75008837603605,502.3333333333333,125.58324495729727
SBE01,36,346.3527303398157,502.3333333333333,155.9806029935176
SBE01,42,321.32524605439465,502.3333333333333,181.00808727893866
SBE01,48,297.7918778818812,502.3333333333333,204.54145545145212
SBE01,54,275.5648074657507,502.3333333333333,226.76852586758264
SOJ01,6,285.77172621815356,253.55166666666665,32.22005955148691
SOJ01,12,86.48729014688922,253.55166666666665,167.06437651977743
SOJ01,18,51.91843386134968,253.55166666666665,201.63323280531696
SOJ01,24,29.5505602081289,253.55166666666665,224.00110645853775
SOJ01,30,16.660101430886208,253.55166666666665,236.89156523578043
SOJ01,36,7.502205482101203,253.55166666666665,246.04946118456544
SOJ01,42,3.564338226937153,253.55166666666665,249.98732843972948
SOJ01,48,0.0,253.55166666666665,253.55166666666665
