material,unit_qty,total_qty,order#,ip,mtrl_total_qty,cumsumqty,prop,cumsum_prop,orderlimit,unit_qty2,order#2,total_qty2,Var_qty
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,2,2.0,12.781512503836437,25.563025007672874,334.4369749923271
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,2,2.0,2.7323937598229686,5.464787519645937,102.53521248035406
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,2,2.0,2.9542425094393248,5.9084850188786495,174.09151498112135
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,4,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,4,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,4,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,4,4.0,206.99206159379992,827.9682463751997,228.03175362480033
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,4,4.0,22.11750992628768,88.47003970515073,47.529960294849275
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,4,4.0,1.3521825181113625,5.40873007244545,3.59126992755455
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,4,4.0,9.785580060704264,39.14232024281706,30.857679757182943
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,4,4.0,41.359395132150546,165.43758052860218,170.56241947139782
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,4,4.0,4.959637541326031,19.838550165304124,34.16144983469587
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,4,4.0,12.447058752685505,49.78823501074202,118.21176498925797
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,4,4.0,11.72545505663595,46.9018202265438,169.0981797734562
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,4,4.0,2.0791812460476247,8.316724984190499,39.6832750158095
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,4,4.0,11.27636252551653,45.10545010206612,314.89454989793387
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,4,4.0,2.4313637641589874,9.72545505663595,98.27454494336405
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,4,4.0,2.6532125137753435,10.612850055101374,169.38714994489862
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,6,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,6,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,6,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,6,6.0,176.0,1056.0,0.0
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,6,6.0,19.1239585223411,114.74375113404659,21.25624886595341
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,6,6.0,1.1760912590556813,7.056547554334088,1.943452445665912
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,6,6.0,8.552941247314495,51.31764748388697,18.682352516113028
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,6,6.0,36.428839878591475,218.57303927154885,117.42696072845115
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,6,6.0,4.431363764158987,26.58818258495392,27.41181741504608
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,6,6.0,11.214419939295736,67.28651963577441,100.71348036422559
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,6,6.0,10.668907502301861,64.01344501381116,151.98655498618882
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,6,6.0,1.9030899869919435,11.41853992195166,36.58146007804834
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,6,6.0,10.395906230238124,62.37543738142874,297.62456261857125
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,6,6.0,2.255272505103306,13.531635030619835,94.46836496938016
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,6,6.0,2.4771212547196626,14.862727528317976,165.13727247168202
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,8,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,8,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,8,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,8,6.0,176.0,1056.0,0.0
AK104,8.0,136.0,17.0,2.0,17192.0,15643.0,0.007910656119125175,0.9098999534667287,8,8.0,17.0,136.0,0.0
AK104,9.0,9.0,1.0,2.0,17192.0,15652.0,0.0005234993020009306,0.9104234527687296,8,8.0,1.0511525224473812,8.40922017957905,0.5907798204209502
AK104,10.0,70.0,7.0,2.0,17192.0,15722.0,0.004071661237785016,0.9144951140065146,8,8.0,7.6783700910563955,61.426960728451164,8.573039271548836
AK104,12.0,336.0,28.0,2.0,17192.0,16058.0,0.019543973941368076,0.9340390879478827,8,8.0,32.93055525355908,263.4444420284726,72.55555797152738
AK104,18.0,54.0,3.0,2.0,17192.0,16112.0,0.003140995812005584,0.9371800837598884,8,8.0,4.056547554334087,32.4523804346727,21.547619565327302
AK104,24.0,168.0,7.0,2.0,17192.0,16280.0,0.009771986970684038,0.9469520707305723,8,8.0,10.339848783037636,82.71879026430109,85.28120973569891
AK104,36.0,216.0,6.0,2.0,17192.0,16496.0,0.012563983248022336,0.9595160539785947,8,8.0,9.919275082652062,79.3542006612165,136.6457993387835
AK104,48.0,48.0,1.0,2.0,17192.0,16544.0,0.002791996277338297,0.962308050255933,8,8.0,1.7781512503836436,14.225210003069149,33.77478999693085
AK104,72.0,360.0,5.0,2.0,17192.0,16904.0,0.020939972080037228,0.9832480223359702,8,8.0,9.771212547196624,78.169700377573,281.830299622427
AK104,108.0,108.0,1.0,2.0,17192.0,17012.0,0.006281991624011168,0.9895300139599814,8,8.0,2.130333768495006,17.04267014796005,90.95732985203995
AK104,180.0,180.0,1.0,2.0,17192.0,17192.0,0.010469986040018614,1.0,8,8.0,2.3521825181113627,18.8174601448909,161.1825398551091
AK104,1.0,23.0,23.0,2.0,17192.0,23.0,0.001337831549557934,0.001337831549557934,10,1.0,23.0,23.0,0.0
AK104,2.0,9876.0,4938.0,2.0,17192.0,9899.0,0.5744532340623546,0.5757910656119125,10,2.0,4938.0,9876.0,0.0
AK104,4.0,4552.0,1138.0,2.0,17192.0,14451.0,0.26477431363424847,0.840565379246161,10,4.0,1138.0,4552.0,0.0
AK104,6.0,1056.0,176.0,2.0,17192.0,15507.0,0.06142391810144253,0.9019892973476036,10,6.0,176.0,1056.0,0.0
